District,Thana,EIIN,College Name,Shift,Version,Group Name,Gender,Min GPA,Own GPA,Available Seat
Barguna,Barguna Sadar,100183,Garjanbunia Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Barguna Sadar,100183,Garjanbunia Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Barguna Sadar,100183,Garjanbunia Secondary School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,80
Barguna,Barguna Sadar,132006,Ghatbaria Adarsha College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Barguna Sadar,132006,Ghatbaria Adarsha College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Barguna Sadar,132006,Ghatbaria Adarsha College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Barguna Sadar,100239,M. Baliatali D. N. College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barguna,Barguna Sadar,100239,M. Baliatali D. N. College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Barguna Sadar,100239,M. Baliatali D. N. College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Barguna Sadar,100163,Nali Muslim Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Barguna Sadar,100173,Road Para Shahidsmriti Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Barguna Sadar,100173,Road Para Shahidsmriti Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Betagi,100296,Betagi Govt. College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barguna,Betagi,100296,Betagi Govt. College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barguna,Betagi,100296,Betagi Govt. College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barguna,Betagi,100299,Betagi Higher Secondary Girls  School And College,Day,Bangla,Humanities,Female,1.00,0.00,150
Barguna,Betagi,100256,Bibichini Niamati Union School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Betagi,100256,Bibichini Niamati Union School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Betagi,100256,Bibichini Niamati Union School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Betagi,100295,Chandkhali Mosharraf Hossain College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Betagi,100295,Chandkhali Mosharraf Hossain College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barguna,Betagi,100295,Chandkhali Mosharraf Hossain College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Betagi,100298,Dr. Asmat Ali College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Betagi,100298,Dr. Asmat Ali College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Betagi,100298,Dr. Asmat Ali College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Betagi,100248,Kadvanu Memorial Secondary Girls Scool And College,Day,Bangla,Science,Female,2.00,0.00,150
Barguna,Betagi,100248,Kadvanu Memorial Secondary Girls Scool And College,Day,Bangla,Humanities,Female,1.00,0.00,150
