"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Brahmanbaria","Banchharampur","103203","Sharahat Ali College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Banchharampur","103203","Sharahat Ali College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Banchharampur","103201","Tajul Islam Adarsha College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Banchharampur","103201","Tajul Islam Adarsha College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Banchharampur","103201","Tajul Islam Adarsha College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Bijoynagar","103248","CHANPUR ADARSHA HIGH SCHOOL  AND COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","103248","CHANPUR ADARSHA HIGH SCHOOL  AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","103248","CHANPUR ADARSHA HIGH SCHOOL  AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","138748","Champaknagar Obaidul Muktadir Chowdhury College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Bijoynagar","138748","Champaknagar Obaidul Muktadir Chowdhury College","Day","Bangla","Business Studies","Co-Edu","1.50","1.00","150"
"Brahmanbaria","Bijoynagar","138748","Champaknagar Obaidul Muktadir Chowdhury College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","300"
"Brahmanbaria","Bijoynagar","103209","Islampur Alhaj Kazi Rafiqul Islam High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","103209","Islampur Alhaj Kazi Rafiqul Islam High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","103209","Islampur Alhaj Kazi Rafiqul Islam High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","103290","Kazi Mohammad Shafiqul Islam College","Day","Bangla","Humanities","Co-Edu","2.50","1.00","290"
"Brahmanbaria","Bijoynagar","103290","Kazi Mohammad Shafiqul Islam College","Day","Bangla","Business Studies","Co-Edu","2.50","1.00","290"
"Brahmanbaria","Bijoynagar","103290","Kazi Mohammad Shafiqul Islam College","Day","Bangla","Science","Co-Edu","3.00","1.00","300"
"Brahmanbaria","Bijoynagar","103232","NIDARABAD UNION SCHOOL AND COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","103232","NIDARABAD UNION SCHOOL AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
